#flows,epsilon,is_correlated,key,count_chern,byte_chern,class
500,0.01,1,2_0_1_0-2_1_1_0,0.0216573556691,0.0360077713477,-1
500,0.01,1,2_0_1_3-2_1_1_3,0.036126965739,0.0311795712925,-1
500,0.01,1,2_0_0_0-2_1_0_0,4.98705365495e-05,5.34507053439e-05,1
500,0.01,1,2_0_0_2-2_1_0_2,0.0926814888498,0.173385166939,-1
500,0.01,1,2_0_0_1-2_1_0_1,2.32356041799e-06,2.4657978144e-06,1
500,0.01,1,2_0_1_1-2_1_1_1,0.109844727526,0.0634770142366,-1
500,0.01,1,2_0_1_2-2_1_1_2,0.018595068591,0.0169636146729,-1
500,0.01,1,2_0_0_3-2_1_0_3,0.0163399226189,0.00829206092641,0
500,0.01,0,2_0_1_0-2_1_1_0,0.51367222921,0.366803526901,-1
500,0.01,0,2_0_1_3-2_1_1_3,0.0216573556691,0.0180694317913,-1
500,0.01,0,2_0_0_0-2_1_0_0,0.650482303345,0.724944131572,-1
500,0.01,0,2_0_0_2-2_1_0_2,0.0600898445122,0.0567201859495,-1
500,0.01,0,2_0_0_1-2_1_0_1,0.0150085366731,0.00915796355924,0
500,0.01,0,2_0_1_1-2_1_1_1,0.330994839664,0.168762782786,-1
500,0.01,0,2_0_1_2-2_1_1_2,0.00662577041986,0.00823636443048,1
500,0.01,0,2_0_0_3-2_1_0_3,0.531728443246,0.58291800599,-1
800,0.01,1,2_0_1_0-2_1_1_0,0.00227610359971,0.00365982003333,1
800,0.01,1,2_0_1_3-2_1_1_3,0.00275124725156,0.00202132064562,1
800,0.01,1,2_0_0_0-2_1_0_0,1.15337497335e-08,9.04647561027e-09,1
800,0.01,1,2_0_0_2-2_1_0_2,0.049233237519,0.167322635102,-1
800,0.01,1,2_0_0_1-2_1_0_1,3.42970597193e-10,1.62442018768e-10,1
800,0.01,1,2_0_1_1-2_1_1_1,0.0022444382464,0.0578407326855,1
800,0.01,1,2_0_1_2-2_1_1_2,0.00492640803109,0.0050492308839,1
800,0.01,1,2_0_0_3-2_1_0_3,0.00105837608835,0.0109143560437,1
800,0.01,0,2_0_1_0-2_1_1_0,0.170554433609,0.115062306059,-1
800,0.01,0,2_0_1_3-2_1_1_3,0.754527583681,0.63755680986,-1
